,Match_ID,Home,Away,Sell,Buy,R
0,0,Tottenham,Liverpoo,10.0,10.5,120
1,1,Bournemouth,Leicester,10.0,10.0,120
2,2,Chelsea,Cardiff,10.0,10.5,120
3,3,Huddersfield,Palace,10.0,10.5,120
4,4,Man City,Fulham,10.0,10.5,120
5,5,Newcastle,Arsenal,10.0,10.5,120
6,6,Watford,Man United,10.0,10.5,120
7,7,Wolves,Burnley,10.0,10.5,120
8,8,Everton,West Ham,10.0,10.5,120
9,9,Southampton,Brighton,10.0,10.0,120
